Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
BIOCHEMISTRY & MOLECULAR BIOLOGY,5327,64256,1,96.75239346724234,0.8358438896189226,12.062324009761593,51.57381246480193,0.8575877604655532,0.8816862572917782
NEUROSCIENCES,3592,44234,2,95.85189309576838,0.9821992761692651,12.314587973273943,51.72346840200446,0.8803591314031182,0.9001252968714478
MULTIDISCIPLINARY SCIENCES,3249,38732,3,89.56602031394276,1.150440289319791,11.921206525084642,61.71494228993535,0.959150507848569,0.8713713837398357
"MATERIALS SCIENCE, MULTIDISCIPLINARY",1797,35328,4,98.6644407345576,1.1563700612131331,19.659432387312187,59.989837896494166,1.3773121869782976,1.4369910266067076
ONCOLOGY,2153,33964,5,97.4454249883883,1.093818114259173,15.77519739897817,61.068745146307485,1.155843009753832,1.1530758700801105
MICROBIOLOGY,1607,24822,6,97.88425637834474,1.2572568761667706,15.446172993154947,60.641305413814564,1.1303982576229,1.1290260852548013
"PHYSICS, APPLIED",1702,23005,7,96.41598119858989,0.9434728554641597,13.516451233842538,57.18973660399529,0.9490893066980025,0.9879745636569918
CELL BIOLOGY,1692,22115,8,96.92671394799054,0.7115952127659576,13.07033096926714,46.362330200945635,0.9408274231678491,0.9553657474738759
IMMUNOLOGY,1366,18191,9,96.92532942898976,0.996938286969253,13.316983894582723,54.29874224011714,0.9900292825768667,0.9733946525501758
PLANT SCIENCES,1217,18184,10,97.37058340180772,1.5948726376335252,14.941659819227608,66.75597551355793,1.0753574363188165,1.0921490844617192
ECOLOGY,1099,15156,11,95.81437670609645,1.2059562329390354,13.790718835304823,57.39173703366697,0.9852593266606007,1.008021942158347
OPTICS,889,12422,12,95.3880764904387,1.482582339707537,13.973003374578179,62.83317637795277,0.9867604049493811,1.021345889771097
ENVIRONMENTAL SCIENCES,610,12215,13,97.70491803278688,1.419320163934426,20.024590163934427,58.92970442622951,1.4353934426229507,1.4636819522633642
"CHEMISTRY, MULTIDISCIPLINARY",637,11460,14,97.8021978021978,0.9747665620094191,17.990580847723706,56.62505086342229,1.2631868131868134,1.3150076122394068
ENDOCRINOLOGY & METABOLISM,818,10661,15,97.06601466992664,1.0353940097799512,13.033007334963326,56.18478398533008,0.9165036674816628,0.9526376052509323
"PHYSICS, MULTIDISCIPLINARY",1030,10405,16,93.68932038834951,0.9114115533980582,10.101941747572816,56.765765825242724,0.7175145631067962,0.7383936299165188
GENETICS & HEREDITY,921,10373,17,96.85124864277958,0.9030943539630838,11.262757871878392,54.117076655808916,0.8098154180238868,0.8232425879792163
"CHEMISTRY, PHYSICAL",614,9533,18,96.57980456026058,0.7584524429967425,15.526058631921824,47.57045895765474,1.0892508143322475,1.1348652643216819
GASTROENTEROLOGY & HEPATOLOGY,523,7966,19,98.08795411089865,1.1632397705544935,15.231357552581262,61.56633785850861,1.1173996175908216,1.1133243165363833
CARDIAC & CARDIOVASCULAR SYSTEMS,666,7394,20,94.29429429429429,0.9173258258258258,11.102102102102101,55.48706291291291,0.7918618618618617,0.8114995785681147
METEOROLOGY & ATMOSPHERIC SCIENCES,356,6997,21,97.47191011235955,1.4969230337078656,19.65449438202247,62.74553651685393,1.385,1.4366300869238693
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",444,6696,22,95.04504504504504,1.6013290540540543,15.08108108108108,62.44889797297298,1.1175900900900904,1.1023399739164383
VIROLOGY,516,6649,23,96.31782945736434,1.0595395348837209,12.885658914728682,53.09275736434111,0.960174418604651,0.941867286276794
PHARMACOLOGY & PHARMACY,400,6470,24,98.0,1.7528685,16.175,66.21259549999999,1.1792749999999996,1.1822991324187104
OPHTHALMOLOGY,525,6223,25,97.14285714285714,1.609222285714286,11.853333333333333,66.52600933333333,0.8614476190476189,0.8664102452098783
