Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
ENERGY & FUELS,9,457,44,100.0,2.973911111111111,50.77777777777778,82.4840111111111,1.3255555555555558,1.2466428760673738
PERIPHERAL VASCULAR DISEASE,8,429,45,100.0,4.707299999999999,53.625,92.24291250000002,1.3874999999999997,1.316544897291064
PARASITOLOGY,13,410,46,100.0,3.3256923076923073,31.53846153846154,91.55713846153846,0.8653846153846154,0.7742993120162616
"MEDICINE, RESEARCH & EXPERIMENTAL",9,404,47,100.0,6.744655555555556,44.888888888888886,86.4992,1.2622222222222221,1.1020650370486191
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",8,390,48,100.0,5.774475000000001,48.75,92.7907125,1.26125,1.196858997537331
GERIATRICS & GERONTOLOGY,3,384,49,100.0,10.2879,128.0,97.01979999999999,2.5533333333333332,3.1425220858416076
"PHYSICS, FLUIDS & PLASMAS",17,337,50,88.23529411764706,2.7289823529411765,19.823529411764707,76.3154705882353,0.4894117647058824,0.4866865546546975
SOIL SCIENCE,10,320,51,100.0,3.5968400000000003,32.0,91.84371000000002,1.046,0.7856305214604019
ROBOTICS,3,302,52,100.0,9.460433333333333,100.66666666666667,92.12836666666668,2.066666666666667,2.471462682094181
OPHTHALMOLOGY,8,269,53,100.0,4.881774999999999,33.625,93.16267500000001,0.8150000000000001,0.8255258213783129
UROLOGY & NEPHROLOGY,7,265,54,100.0,4.006042857142858,37.857142857142854,90.9941857142857,0.8142857142857143,0.9294289651205646
"CHEMISTRY, ORGANIC",9,263,55,100.0,2.7005222222222223,29.22222222222222,86.8923,0.6555555555555556,0.7174334275836308
PHYSIOLOGY,9,252,56,100.0,2.8303000000000003,28.0,85.68344444444445,0.6344444444444445,0.6874267062778516
"CHEMISTRY, ANALYTICAL",7,235,57,100.0,2.5858571428571433,33.57142857142857,85.92414285714287,0.7042857142857143,0.8242105917106894
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",8,233,58,100.0,4.0565750000000005,29.125,86.514,0.72375,0.7150465292979439
PSYCHIATRY,10,232,59,100.0,2.6098399999999997,23.2,80.06431,0.728,0.5695821280587914
RESPIRATORY SYSTEM,5,226,60,100.0,4.69772,45.2,94.35762000000001,1.1540000000000001,1.1097031115628178
ECONOMICS,12,224,61,100.0,2.84275,18.666666666666668,81.29645000000001,0.4083333333333334,0.4582844708519011
PALEONTOLOGY,10,207,62,100.0,3.5762,20.7,88.42364,0.51,0.5082047435696975
"ENGINEERING, BIOMEDICAL",5,202,63,100.0,3.84232,40.4,94.99662000000001,0.992,0.9918585333437574
MECHANICS,6,201,64,100.0,3.4158499999999994,33.5,77.33161666666666,0.8750000000000001,0.8224569521538583
