Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
TOXICOLOGY,4,131,83,100.0,2.9005250000000005,32.75,90.75097500000001,0.8975000000000001,1.1377509869202265
MATHEMATICS,16,123,84,93.75,2.89788125,7.6875,68.665475,0.2675,0.26706750265493867
"ENGINEERING, BIOMEDICAL",3,121,85,100.0,3.8847333333333336,40.333333333333336,95.27123333333334,1.3066666666666669,1.4011996887261822
CRIMINOLOGY & PENOLOGY,4,111,86,100.0,6.1386,27.75,85.433625,0.745,0.9640485461690468
"PHYSICS, MATHEMATICAL",4,103,87,100.0,4.147125,25.75,89.203025,0.8175,0.894567569868575
"PHYSICS, FLUIDS & PLASMAS",5,96,88,80.0,2.90642,19.2,72.34009999999999,0.6780000000000002,0.6670173724845296
FORESTRY,2,92,89,100.0,7.08225,46.0,92.7792,1.5100000000000002,1.5980624549108524
ENERGY & FUELS,4,89,90,75.0,1.6306000000000003,22.25,66.573125,2.1175,0.7729758613427492
ORNITHOLOGY,2,86,91,100.0,9.19885,43.0,70.0,1.22,1.4938409904601446
MATHEMATICAL & COMPUTATIONAL BIOLOGY,7,75,92,85.71428571428571,1.1315857142857142,10.714285714285714,66.67817142857143,0.3285714285714286,0.3722195158953848
EDUCATION & EDUCATIONAL RESEARCH,2,71,93,100.0,9.04985,35.5,98.55100000000002,0.925,1.2332873293333753
PUBLIC ADMINISTRATION,1,69,94,100.0,13.415000000000001,69.0,99.5874,1.8,2.3970936823662785
VETERINARY SCIENCES,2,66,95,100.0,7.26535,33.0,98.4731,1.165,1.1464361089577855
"EDUCATION, SCIENTIFIC DISCIPLINES",2,65,96,100.0,5.568200000000001,32.5,97.63385,0.8500000000000001,1.1290658648826675
"MATERIALS SCIENCE, BIOMATERIALS",2,55,97,100.0,2.2062,27.5,88.79220000000001,0.9700000000000001,0.9553634241314878
DEMOGRAPHY,7,49,98,100.0,1.7953571428571429,7.0,78.66938571428571,0.25,0.24318341705165145
TRANSPORTATION,2,49,98,100.0,3.0390500000000005,24.5,81.8518,0.8150000000000001,0.8511419596807801
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,3,47,100,100.0,3.092533333333334,15.666666666666666,83.50846666666668,0.5366666666666667,0.5442676476870294
GEOLOGY,2,44,101,100.0,6.202450000000001,22.0,94.6223,1.62,0.7642907393051903
AGRONOMY,1,41,102,100.0,5.2856000000000005,41.0,98.1969,1.07,1.4243600141596728
