Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
ENTOMOLOGY,4,345,42,100.0,11.432225,86.25,93.74455,0.645,1.9760604901956522
ENVIRONMENTAL STUDIES,4,332,43,75.0,5.2993500000000004,83.0,74.20165,1.8725,1.901600239840454
"CHEMISTRY, ORGANIC",3,287,44,100.0,8.569533333333334,95.66666666666667,99.65596666666666,0.7200000000000001,2.1918042925068684
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",7,253,45,100.0,6.164542857142856,36.142857142857146,84.66787142857143,1.2414285714285715,0.8280634435105592
"PHYSICS, PARTICLES & FIELDS",2,247,46,50.0,9.492,123.5,50.78000000000001,0.885,2.829489513497543
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,3,224,47,100.0,4.885333333333334,74.66666666666667,91.76963333333333,1.3166666666666667,1.7106765209809707
"ENGINEERING, BIOMEDICAL",1,209,48,100.0,17.235400000000002,209.0,99.8691,1.5,4.788366868995841
"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",5,194,49,100.0,3.9223799999999995,38.8,95.14844000000001,0.43800000000000006,0.8889408350097543
"MEDICINE, GENERAL & INTERNAL",17,179,50,76.47058823529412,3.0422588235294112,10.529411764705882,67.00899411764706,1.2747058823529416,0.24123773418245303
EVOLUTIONARY BIOLOGY,2,177,51,100.0,7.79135,88.5,96.9196,0.78,2.0276098942877128
POLITICAL SCIENCE,8,173,52,100.0,11.264975000000002,21.625,93.66332500000001,0.8175,0.4954470504403592
PHYSIOLOGY,1,159,53,100.0,14.1574,159.0,99.9529,1.1400000000000001,3.6428245558389416
BEHAVIORAL SCIENCES,6,158,54,83.33333333333334,3.6169500000000006,26.333333333333332,75.57683333333334,0.4216666666666667,0.6033189515959673
"EDUCATION, SCIENTIFIC DISCIPLINES",1,158,54,100.0,58.6938,158.0,100.0,13.930000000000001,3.619913709575804
HEMATOLOGY,4,138,56,100.0,4.162175,34.5,95.85985000000001,0.4650000000000001,0.790424196078261
