Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World,Journal
INFECTIOUS DISEASES,19,592,38,100,3.162147368421053,31.157894736842106,84.5591894736842,0.751578947368421,0.7649560340535493,Nature Communications
RHEUMATOLOGY,11,566,39,100,5.3996,51.45454545454545,89.27406363636364,1.3945454545454545,1.263258168030078,Nature Communications
POLYMER SCIENCE,17,561,40,100,4.869370588235294,33,82.9835882352941,0.9458823529411764,0.8101814752560395,Nature Communications
"ENGINEERING, CHEMICAL",8,557,41,100,4.9885,69.625,86.03184999999999,1.7825000000000002,1.709360158021265,Nature Communications
"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",20,527,42,95,2.38315,26.35,77.54226,0.5635000000000001,0.6469176325150497,Nature Communications
REPRODUCTIVE BIOLOGY,7,499,43,100,7.6054571428571425,71.28571428571429,95.40741428571428,1.5357142857142858,1.7501322777175918,Nature Communications
ENERGY & FUELS,9,457,44,100,2.973911111111111,50.77777777777778,82.4840111111111,1.3255555555555558,1.2466428760673738,Nature Communications
PERIPHERAL VASCULAR DISEASE,8,429,45,100,4.707299999999999,53.625,92.24291250000002,1.3874999999999997,1.316544897291064,Nature Communications
PARASITOLOGY,13,410,46,100,3.3256923076923073,31.53846153846154,91.55713846153846,0.8653846153846154,0.7742993120162616,Nature Communications
"MEDICINE, RESEARCH & EXPERIMENTAL",9,404,47,100,6.744655555555556,44.888888888888886,86.4992,1.2622222222222221,1.1020650370486191,Nature Communications
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",8,390,48,100,5.774475000000001,48.75,92.7907125,1.26125,1.196858997537331,Nature Communications
GERIATRICS & GERONTOLOGY,3,384,49,100,10.2879,128,97.01979999999999,2.5533333333333332,3.1425220858416076,Nature Communications
"PHYSICS, FLUIDS & PLASMAS",17,337,50,88.23529411764706,2.7289823529411765,19.823529411764707,76.3154705882353,0.4894117647058824,0.4866865546546975,Nature Communications
SOIL SCIENCE,10,320,51,100,3.5968400000000003,32,91.84371000000002,1.046,0.7856305214604019,Nature Communications
ROBOTICS,3,302,52,100,9.460433333333333,100.66666666666667,92.12836666666668,2.066666666666667,2.471462682094181,Nature Communications
OPHTHALMOLOGY,8,269,53,100,4.881774999999999,33.625,93.16267500000001,0.8150000000000001,0.8255258213783129,Nature Communications
UROLOGY & NEPHROLOGY,7,265,54,100,4.006042857142858,37.857142857142854,90.9941857142857,0.8142857142857143,0.9294289651205646,Nature Communications
"CHEMISTRY, ORGANIC",9,263,55,100,2.7005222222222223,29.22222222222222,86.8923,0.6555555555555556,0.7174334275836308,Nature Communications
PHYSIOLOGY,9,252,56,100,2.8303000000000003,28,85.68344444444445,0.6344444444444445,0.6874267062778516,Nature Communications
"CHEMISTRY, ANALYTICAL",7,235,57,100,2.5858571428571433,33.57142857142857,85.92414285714287,0.7042857142857143,0.8242105917106894,Nature Communications
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",8,233,58,100,4.0565750000000005,29.125,86.514,0.72375,0.7150465292979439,Nature Communications
PSYCHIATRY,10,232,59,100,2.6098399999999997,23.2,80.06431,0.728,0.5695821280587914,Nature Communications
RESPIRATORY SYSTEM,5,226,60,100,4.69772,45.2,94.35762000000001,1.1540000000000001,1.1097031115628178,Nature Communications
ECONOMICS,12,224,61,100,2.84275,18.666666666666668,81.29645000000001,0.4083333333333334,0.4582844708519011,Nature Communications
PALEONTOLOGY,10,207,62,100,3.5762,20.7,88.42364,0.51,0.5082047435696975,Nature Communications
"ENGINEERING, BIOMEDICAL",5,202,63,100,3.84232,40.4,94.99662000000001,0.992,0.9918585333437574,Nature Communications
MECHANICS,6,201,64,100,3.4158499999999994,33.5,77.33161666666666,0.8750000000000001,0.8224569521538583,Nature Communications
WATER RESOURCES,5,200,65,100,5.89536,40,96.98942,1.1360000000000001,0.9820381518255024,Nature Communications
MARINE & FRESHWATER BIOLOGY,4,181,66,100,6.217875000000001,45.25,96.53505000000001,1.1675000000000002,1.1109306592525996,Nature Communications
BIOLOGY,9,179,67,100,2.0797666666666665,19.88888888888889,79.95113333333335,0.45333333333333337,0.48829119215768035,Nature Communications
"MATERIALS SCIENCE, BIOMATERIALS",1,174,68,100,13.959200000000001,174,99.9568,4.73,4.271865960440936,Nature Communications
TOXICOLOGY,5,165,69,100,3.6634599999999997,33,93.5624,0.9339999999999999,0.8101814752560395,Nature Communications
ANTHROPOLOGY,7,144,70,85.71428571428571,5.3228,20.571428571428573,81.22402857142856,0.47000000000000003,0.5050481923674013,Nature Communications
THERMODYNAMICS,1,131,71,100,9.7247,131,99.7744,2.6100000000000003,3.21617494722852,Nature Communications
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3,123,72,100,3.5526666666666666,41,93.38439999999999,1.1133333333333335,1.00658910562114,Nature Communications
BIOPHYSICS,6,121,73,100,2.0616666666666665,20.166666666666668,85.1928,0.8616666666666668,0.4951109015453575,Nature Communications
"CHEMISTRY, INORGANIC & NUCLEAR",2,117,74,100,6.1205,58.5,98.82625,1.1700000000000002,1.4362307970447972,Nature Communications
PEDIATRICS,2,110,75,100,7.6631,55,88.40710000000001,1.275,1.3503024587600658,Nature Communications
MICROSCOPY,2,106,76,100,8.158900000000001,53,99.5094,1.06,1.3012005511687905,Nature Communications
"PHYSICS, NUCLEAR",3,97,77,100,4.644666666666667,32.333333333333336,92.88550000000002,0.7666666666666667,0.7938141727256145,Nature Communications
"DENTISTRY, ORAL SURGERY & MEDICINE",3,91,78,100,5.346166666666666,30.333333333333332,97.02703333333334,0.7733333333333334,0.7447122651343393,Nature Communications
ENTOMOLOGY,3,88,79,100,5.309200000000001,29.333333333333332,96.84826666666667,0.7366666666666667,0.7201613113387016,Nature Communications
AGRONOMY,1,81,80,100,10.442300000000001,81,99.76520000000001,1.62,1.9886272574466424,Nature Communications
"CHEMISTRY, MEDICINAL",2,81,80,100,4.1015500000000005,40.5,97.71195,0.81,0.9943136287233212,Nature Communications
CRITICAL CARE MEDICINE,2,80,82,100,3.5859000000000005,40,88.1035,1.085,0.9820381518255024,Nature Communications
CRYSTALLOGRAPHY,1,78,83,100,13.266200000000001,78,99.83630000000001,2.12,1.9149743960597296,Nature Communications
METALLURGY & METALLURGICAL ENGINEERING,2,78,83,100,4.5823,39,97.0441,1.06,0.9574871980298648,Nature Communications
ZOOLOGY,4,69,85,100,3.54115,17.25,92.65537499999999,0.41000000000000003,0.4235039529747479,Nature Communications
TROPICAL MEDICINE,4,67,86,100,2.0604750000000003,16.75,84.11477500000001,0.31000000000000005,0.41122847607692914,Nature Communications
"MATERIALS SCIENCE, CERAMICS",1,63,87,100,6.086,63,99.19460000000001,1.26,1.5467100891251662,Nature Communications
ENVIRONMENTAL STUDIES,2,59,88,100,3.5107500000000003,29.5,90.75815,0.8049999999999999,0.724253136971308,Nature Communications
ORTHOPEDICS,1,54,89,100,8.689,54,99.66040000000001,1.47,1.3257515049644282,Nature Communications
LIMNOLOGY,1,50,90,100,4.8798,50,98.4658,1,1.227547689781878,Nature Communications
GEOLOGY,2,41,91,100,3.0295500000000004,20.5,93.13495,0.465,0.50329455281057,Nature Communications
"PSYCHOLOGY, MULTIDISCIPLINARY",1,38,92,100,6.1149000000000004,38,98.5305,1.03,0.9329362442342273,Nature Communications
"PSYCHOLOGY, DEVELOPMENTAL",1,33,93,100,4.3137,33,97.8172,0.9,0.8101814752560395,Nature Communications
DERMATOLOGY,1,32,94,100,5.0834,32,98.0528,0.87,0.7856305214604019,Nature Communications
FISHERIES,1,31,95,100,3.8785000000000003,31,96.7876,0.62,0.7610795676647644,Nature Communications
ARCHAEOLOGY,1,27,96,100,9.9687,27,99.7625,0.73,0.6628757524822141,Nature Communications
SPECTROSCOPY,3,26,97,66.66666666666666,1.283966666666667,8.666666666666666,56.564666666666675,0.19333333333333336,0.2127749328955255,Nature Communications
BEHAVIORAL SCIENCES,2,25,98,100,1.7161,12.5,61.08175,0.325,0.3068869224454695,Nature Communications
"PSYCHOLOGY, EXPERIMENTAL",1,22,99,100,1.9631,22,88.0473,0.44,0.5401209835040263,Nature Communications
"PHYSICS, PARTICLES & FIELDS",4,21,100,75,0.408625,5.25,32.433075,0.10750000000000001,0.12889250742709718,Nature Communications
BUSINESS,1,19,101,100,2.6349,19,90.05810000000001,0.52,0.46646812211711364,Nature Communications
MATHEMATICAL & COMPUTATIONAL BIOLOGY,2,15,102,100,0.89225,7.5,68.9169,0.2,0.1841321534672817,Nature Communications
ACOUSTICS,1,13,103,100,1.7872000000000001,13,83.7685,0.35000000000000003,0.31916239934328827,Nature Communications
PATHOLOGY,1,10,104,100,1.2029,10,73.8058,0.2,0.2455095379563756,Nature Communications
SOCIOLOGY,1,10,104,100,2.8366000000000002,10,90.0377,0.27,0.2455095379563756,Nature Communications
"ENGINEERING, MECHANICAL",1,8,106,100,1.0011,8,65.2527,0.22,0.19640763036510048,Nature Communications
MATHEMATICS,1,7,107,100,2.0321000000000002,7,85.4942,0.14,0.1718566765694629,Nature Communications
"PHYSICS, MATHEMATICAL",1,7,107,100,1.2253,7,73.85210000000001,0.19,0.1718566765694629,Nature Communications
"COMPUTER SCIENCE, THEORY & METHODS",1,5,109,100,0.6513,5,62.3177,0.14,0.1227547689781878,Nature Communications
"MATHEMATICS, APPLIED",1,4,110,100,0.7181000000000001,4,58.703900000000004,0.08,0.09820381518255024,Nature Communications
ORNITHOLOGY,1,1,111,100,0.3309,1,43.478300000000004,0.04,0.02455095379563756,Nature Communications
SURGERY,2,1,111,50,0.53335,0.5,28.2112,0.5,0.01227547689781878,Nature Communications
BIOCHEMISTRY & MOLECULAR BIOLOGY,470,40916,1,94.8936170212766,6.227915319148938,87.05531914893616,86.22260702127657,0.9024255319148937,1.9483592073005136,NATURE
MULTIDISCIPLINARY SCIENCES,3351,28294,2,44.07639510593852,2.483732617129215,8.443449716502537,38.5054188898836,0.7895493882423158,0.1889703369920695,NATURE
CELL BIOLOGY,268,25240,3,93.65671641791045,5.4970257462686565,94.17910447761194,81.49415485074628,1.274813432835821,2.107794528101671,NATURE
"PHYSICS, MULTIDISCIPLINARY",198,21564,4,84.34343434343434,10.74106717171717,108.9090909090909,78.7080282828283,1.172171717171717,2.437461973672507,NATURE
NEUROSCIENCES,203,17140,5,92.61083743842364,7.83725763546798,84.43349753694581,82.157497044335,1.4817733990147783,1.8896809975419395,NATURE
ONCOLOGY,88,13337,6,92.04545454545455,11.441687499999999,151.5568181818182,80.55255454545456,2.0621590909090908,3.391948074172603,NATURE
GENETICS & HEREDITY,89,11705,7,86.51685393258427,11.159355056179777,131.51685393258427,79.73716067415734,1.2176404494382023,2.9434395942695093,NATURE
"MATERIALS SCIENCE, MULTIDISCIPLINARY",61,11638,8,98.36065573770492,12.659678688524588,190.78688524590163,93.39226229508196,2.1327868852459018,4.2699445379677465,NATURE
ASTRONOMY & ASTROPHYSICS,171,11130,9,77.77777777777779,6.079452631578947,65.08771929824562,70.73252222222222,0.7885964912280702,1.4567088882871309,NATURE
IMMUNOLOGY,98,10319,10,96.93877551020408,8.769595918367349,105.29591836734694,88.18628775510206,1.2236734693877553,2.356596633586527,NATURE
"CHEMISTRY, MULTIDISCIPLINARY",86,8750,11,94.18604651162791,5.832772093023257,101.74418604651163,85.89225232558141,1.1841860465116283,2.277106368812156,NATURE
ECOLOGY,103,7577,12,85.43689320388349,7.11956796116505,73.5631067961165,78.55928349514564,1.4559223300970874,1.6463940152655916,NATURE
"PHYSICS, APPLIED",49,6231,13,91.83673469387756,10.299783673469388,127.16326530612245,84.16370204081633,1.5685714285714285,2.8460032219939237,NATURE
MICROBIOLOGY,54,5916,14,96.29629629629629,10.19385,109.55555555555556,84.06458148148147,1.2937037037037031,2.4519303066640705,NATURE
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7,5284,15,71.42857142857143,62.75184285714287,754.8571428571429,70.01288571428572,11.735714285714286,16.89423321699747,NATURE
"GEOSCIENCES, MULTIDISCIPLINARY",97,4432,16,90.72164948453609,4.94130412371134,45.69072164948454,77.243612371134,0.727938144329897,1.02259045264859,NATURE
ENVIRONMENTAL SCIENCES,44,3798,17,93.18181818181817,11.181163636363637,86.31818181818181,84.9638522727273,3.159318181818181,1.9318615559282515,NATURE
METEOROLOGY & ATMOSPHERIC SCIENCES,58,3208,18,93.10344827586206,5.981781034482759,55.310344827586206,80.51920862068965,1.3277586206896552,1.2378843780864002,NATURE
GEOCHEMISTRY & GEOPHYSICS,71,3111,19,95.77464788732394,7.1851521126760565,43.816901408450704,87.36702535211268,0.5498591549295775,0.9806530391150375,NATURE
"CHEMISTRY, PHYSICAL",24,3049,20,91.66666666666666,5.826091666666667,127.04166666666667,87.45353333333333,1.1125,2.843281759008146,NATURE
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,20,2833,21,95,12.95627,141.65,88.47143,1.4105,3.1702265227694633,NATURE
OPTICS,17,2416,22,88.23529411764706,15.419341176470589,142.11764705882354,86.57018823529413,1.1388235294117646,3.180692792513039,NATURE
PLANT SCIENCES,34,2282,23,91.17647058823529,6.717517647058824,67.11764705882354,81.46639117647058,0.8688235294117648,1.5021400977886497,NATURE
VIROLOGY,15,1779,24,86.66666666666667,9.909193333333336,118.6,85.70880666666666,0.8753333333333334,2.654351327924167,NATURE
MARINE & FRESHWATER BIOLOGY,2,1680,25,100,100.07600000000001,840,100,5.655000000000001,18.79979018091316,NATURE
DEVELOPMENTAL BIOLOGY,19,1059,26,94.73684210526315,6.429131578947369,55.73684210526316,82.8656157894737,1.0536842105263158,1.2474296868162302,NATURE
"ENGINEERING, ELECTRICAL & ELECTRONIC",7,966,27,100,14.241442857142857,138,96.49928571428572,1.342857142857143,3.088536958292876,NATURE
HEMATOLOGY,5,954,28,100,15.58218,190.8,98.74324,1.7120000000000002,4.270238055378846,NATURE
ANTHROPOLOGY,17,873,29,76.47058823529412,12.925441176470587,51.35294117647059,71.7948705882353,0.8205882352941176,1.14931490391717,NATURE
"PHYSICS, PARTICLES & FIELDS",16,713,30,93.75,3.4533937500000005,44.5625,70.98993125000001,0.39187500000000003,0.9973400594487413,NATURE
ENDOCRINOLOGY & METABOLISM,10,708,31,80,5.8372600000000014,70.8,71.63886,0.6699999999999999,1.5845537438198234,NATURE
CLINICAL NEUROLOGY,9,625,32,66.66666666666666,14.155933333333333,69.44444444444444,64.6271888888889,3.586666666666667,1.554215458078138,NATURE
"MEDICINE, RESEARCH & EXPERIMENTAL",6,610,33,66.66666666666666,9.93795,101.66666666666667,54.54906666666667,1.0450000000000002,2.2753714306263944,NATURE
"PHYSICS, NUCLEAR",9,609,34,88.88888888888889,7.652455555555556,67.66666666666667,72.48745555555556,0.5444444444444445,1.5144275423513378,NATURE
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",12,584,35,83.33333333333334,6.731925,48.666666666666664,67.61525000000002,0.6191666666666666,1.089194193021159,NATURE
CARDIAC & CARDIOVASCULAR SYSTEMS,5,575,36,100,11.031099999999999,115,91.3828,1.174,2.573780798577397,NATURE
OCEANOGRAPHY,11,531,37,90.9090909090909,4.001027272727273,48.27272727272727,80.26773636363637,0.39454545454545453,1.080377552604425,NATURE
PALEONTOLOGY,9,453,38,100,6.503011111111111,50.333333333333336,81.99191111111112,0.8455555555555555,1.1264953640150346,NATURE
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",2,439,39,100,92.23175,219.5,100,5.335,4.912564219893379,NATURE
EVOLUTIONARY BIOLOGY,9,425,40,88.88888888888889,3.871133333333333,47.22222222222222,80.50956666666667,0.3966666666666667,1.056866511493134,NATURE
ECONOMICS,14,417,41,71.42857142857143,6.647214285714286,29.785714285714285,68.1188,1.282857142857143,0.666625213047686,NATURE
INFECTIOUS DISEASES,7,375,42,71.42857142857143,5.377314285714286,53.57142857142857,66.41621428571429,0.7000000000000001,1.1989662105174208,NATURE
SURGERY,3,335,43,100,22.782633333333333,111.66666666666667,98.18146666666667,2.8066666666666666,2.499178456589646,NATURE
PHYSIOLOGY,7,324,44,100,5.001557142857143,46.285714285714285,88.32505714285715,0.5914285714285715,1.0359068058870515,NATURE
BIOLOGY,13,320,45,76.92307692307693,5.982969230769232,24.615384615384617,62.74813076923078,1.0423076923076924,0.5509096023710816,NATURE
POLYMER SCIENCE,3,314,46,100,8.4977,104.66666666666667,99.70483333333334,0.7033333333333335,2.34251353841537,NATURE
"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",1,243,47,100,26.840500000000002,243,99.9941,2.0900000000000003,5.438510730907021,NATURE
"MEDICINE, GENERAL & INTERNAL",18,226,48,77.77777777777779,5.602116666666667,12.555555555555555,68.42725,1.995,0.28100215482052737,NATURE
PEDIATRICS,8,223,49,87.5,9.663925,27.875,75.7155125,0.7675,0.6238620848725647,NATURE
PHARMACOLOGY & PHARMACY,5,216,50,80,6.512440000000001,43.2,72.36528000000001,2.7779999999999996,0.9668463521612483,NATURE
GASTROENTEROLOGY & HEPATOLOGY,8,209,51,75,3.169775,26.125,62.58886250000001,0.7700000000000001,0.5846958553289956,NATURE
